,home,away,date,season,venue,type,toss,winner,man_of_match,points
263,Mumbai Indians,Rajasthan Royals,"11th April, 2012",2012 - 12th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Mumbai Indians won by 27 runs,Kieron Pollard,
264,Chennai Super Kings,Royal Challengers Bangalore,"12th April, 2012",2012 - 13th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Chennai Super Kings won by 5 wickets,Faf du Plessis,
265,Kings XI Punjab,Pune Warriors,"12th April, 2012",2012 - 14th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Kings XI Punjab won by 7 wickets,Dimitri Mascarenhas,
266,Kolkata Knight Riders,Rajasthan Royals,"13th April, 2012",2012 - 15th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Kolkata Knight Riders won by 5 wickets,Shakib Al Hasan,
267,Pune Warriors,Chennai Super Kings,"14th April, 2012",2012 - 16th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Pune Warriors won by 7 wickets,Jesse Ryder,
268,Kolkata Knight Riders,Kings XI Punjab,"15th April, 2012",2012 - 17th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kings XI Punjab won by 2 runs,Sunil Narine,
269,Royal Challengers Bangalore,Rajasthan Royals,"15th April, 2012",2012 - 18th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Rajasthan Royals won by 59 runs,Ajinkya Rahane,
270,Mumbai Indians,Delhi Daredevils,"16th April, 2012",2012 - 19th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 7 wickets,Shahbaz Nadeem,
271,Rajasthan Royals,Deccan Chargers,"17th April, 2012",2012 - 20th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to bat,Rajasthan Royals won by 5 wickets,Bradley Hodge,
272,Royal Challengers Bangalore,Pune Warriors,"17th April, 2012",2012 - 21st Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Pune Warriors won the toss and elected to bat,Royal Challengers Bangalore won by 6 wickets,Chris Gayle,
273,Kings XI Punjab,Kolkata Knight Riders,"18th April, 2012",2012 - 22nd Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Kolkata Knight Riders won by 8 wickets,Gautam Gambhir,
274,Delhi Daredevils,Deccan Chargers,"19th April, 2012",2012 - 23rd Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to bat,Delhi Daredevils won by 5 wickets,Kevin Pietersen,
275,Chennai Super Kings,Pune Warriors,"19th April, 2012",2012 - 24th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Pune Warriors won the toss and elected to field,Chennai Super Kings won by 13 runs,Nuwan Kulasekara,
276,Kings XI Punjab,Royal Challengers Bangalore,"20th April, 2012",2012 - 25th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 5 wickets,Chris Gayle,
277,Chennai Super Kings,Rajasthan Royals,"21st April, 2012",2012 - 26th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Chennai Super Kings won by 7 wickets,Faf du Plessis,
278,Delhi Daredevils,Pune Warriors,"21st April, 2012",2012 - 27th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Pune Warriors won by 20 runs,Sourav Ganguly,
279,Mumbai Indians,Kings XI Punjab,"22nd April, 2012",2012 - 28th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Kings XI Punjab won by 6 wickets,Shaun Marsh,
280,Deccan Chargers,Kolkata Knight Riders,"22nd April, 2012",2012 - 29th Match,"Barabati Stadium, Cuttack","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 5 wickets,Brett Lee,
281,Rajasthan Royals,Royal Challengers Bangalore,"23rd April, 2012",2012 - 30th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Royal Challengers Bangalore won by 46 runs,AB de Villiers,
282,Pune Warriors,Delhi Daredevils,"24th April, 2012",2012 - 31st Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Pune Warriors won the toss and elected to bat,Delhi Daredevils won by 8 wickets,Virender Sehwag,
283,Kolkata Knight Riders,Deccan Chargers,"24th April, 2012",2012 - 32nd Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",No Toss,Match abandoned,No Award,"Kolkata Knight Riders 1, Deccan Chargers 1"
284,Kings XI Punjab,Mumbai Indians,"25th April, 2012",2012 - 33rd Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Mumbai Indians won by 4 wickets,Ambati Rayudu,
285,Royal Challengers Bangalore,Chennai Super Kings,"25th April, 2012",2012 - 34th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,No result,No Award,"Royal Challengers Bangalore 1, Chennai Super Kings 1"
286,Pune Warriors,Deccan Chargers,"26th April, 2012",2012 - 35th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to bat,Deccan Chargers won by 18 runs,Cameron White,
287,Delhi Daredevils,Mumbai Indians,"27th April, 2012",2012 - 36th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Delhi Daredevils won by 37 runs,Virender Sehwag,
288,Chennai Super Kings,Kings XI Punjab,"28th April, 2012",2012 - 37th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Kings XI Punjab won by 7 runs,Mandeep Singh,
289,Kolkata Knight Riders,Royal Challengers Bangalore,"28th April, 2012",2012 - 38th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Kolkata Knight Riders won by 47 runs,Gautam Gambhir,
290,Delhi Daredevils,Rajasthan Royals,"29th April, 2012",2012 - 39th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to bat,Delhi Daredevils won by 1 run,Virender Sehwag,
291,Mumbai Indians,Deccan Chargers,"29th April, 2012",2012 - 40th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 5 wickets,Dale Steyn,
292,Chennai Super Kings,Kolkata Knight Riders,"30th April, 2012",2012 - 41st Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Kolkata Knight Riders won by 5 wickets,Gautam Gambhir,
293,Deccan Chargers,Pune Warriors,"1st May, 2012",2012 - 42nd Match,"Barabati Stadium, Cuttack","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to bat,Deccan Chargers won by 13 runs,Kumar Sangakkara,
294,Rajasthan Royals,Delhi Daredevils,"1st May, 2012",2012 - 43rd Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Delhi Daredevils won by 6 wickets,Pawan Negi,
295,Royal Challengers Bangalore,Kings XI Punjab,"2nd May, 2012",2012 - 44th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Kings XI Punjab won by 4 wickets,Azhar Mahmood,
296,Pune Warriors,Mumbai Indians,"3rd May, 2012",2012 - 45th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 1 run,Lasith Malinga,
297,Chennai Super Kings,Deccan Chargers,"4th May, 2012",2012 - 46th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Chennai Super Kings won by 10 runs,Suresh Raina,
298,Kolkata Knight Riders,Pune Warriors,"5th May, 2012",2012 - 47th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Kolkata Knight Riders won by 7 runs,Sunil Narine,
299,Kings XI Punjab,Rajasthan Royals,"5th May, 2012",2012 - 48th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Rajasthan Royals won by 43 runs,Shane Watson,
300,Mumbai Indians,Chennai Super Kings,"6th May, 2012",2012 - 49th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 2 wickets,Dwayne Smith,
301,Royal Challengers Bangalore,Deccan Chargers,"6th May, 2012",2012 - 50th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 5 wickets,AB de Villiers,
302,Delhi Daredevils,Kolkata Knight Riders,"7th May, 2012",2012 - 51st Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to bat,Kolkata Knight Riders won by 6 wickets,Jacques Kallis,
303,Pune Warriors,Rajasthan Royals,"8th May, 2012",2012 - 52nd Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Pune Warriors won the toss and elected to bat,Rajasthan Royals won by 7 wickets,Shane Watson,
304,Deccan Chargers,Kings XI Punjab,"8th May, 2012",2012 - 53rd Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to field,Kings XI Punjab won by 25 runs,Mandeep Singh,
305,Mumbai Indians,Royal Challengers Bangalore,"9th May, 2012",2012 - 54th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 9 wickets,Chris Gayle,
306,Deccan Chargers,Delhi Daredevils,"10th May, 2012",2012 - 55th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to bat,Delhi Daredevils won by 9 wickets,David Warner,
307,Rajasthan Royals,Chennai Super Kings,"10th May, 2012",2012 - 56th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Chennai Super Kings won by 4 wickets,Ben Hilfenhaus,
308,Pune Warriors,Royal Challengers Bangalore,"11th May, 2012",2012 - 57th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Pune Warriors won the toss and elected to field,Royal Challengers Bangalore won by 35 runs,Chris Gayle,
309,Kolkata Knight Riders,Mumbai Indians,"12th May, 2012",2012 - 58th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 27 runs,Rohit Sharma,
310,Chennai Super Kings,Delhi Daredevils,"12th May, 2012",2012 - 59th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Chennai Super Kings won by 9 wickets,Ben Hilfenhaus,
311,Rajasthan Royals,Pune Warriors,"13th May, 2012",2012 - 60th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Rajasthan Royals won by 45 runs,Ajit Chandila,
312,Kings XI Punjab,Deccan Chargers,"13th May, 2012",2012 - 61st Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to bat,Kings XI Punjab won by 4 wickets,David Hussey,
313,Royal Challengers Bangalore,Mumbai Indians,"14th May, 2012",2012 - 62nd Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 5 wickets,Ambati Rayudu,
314,Kolkata Knight Riders,Chennai Super Kings,"14th May, 2012",2012 - 63rd Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Chennai Super Kings won by 5 wickets,Michael Hussey,
315,Delhi Daredevils,Kings XI Punjab,"15th May, 2012",2012 - 64th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Delhi Daredevils won by 5 wickets,Umesh Yadav,
316,Mumbai Indians,Kolkata Knight Riders,"16th May, 2012",2012 - 65th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Kolkata Knight Riders won by 32 runs,Sunil Narine,
317,Kings XI Punjab,Chennai Super Kings,"17th May, 2012",2012 - 66th Match,"Himachal Pradesh Cricket Association Stadium, Dharamsala","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Kings XI Punjab won by 6 wickets,Adam Gilchrist,
318,Delhi Daredevils,Royal Challengers Bangalore,"17th May, 2012",2012 - 67th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Royal Challengers Bangalore won by 21 runs,Chris Gayle,
319,Deccan Chargers,Rajasthan Royals,"18th May, 2012",2012 - 68th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Deccan Chargers won by 5 wickets,Dale Steyn,
320,Kings XI Punjab,Delhi Daredevils,"19th May, 2012",2012 - 69th Match,"Himachal Pradesh Cricket Association Stadium, Dharamsala","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 6 wickets,Umesh Yadav,
321,Pune Warriors,Kolkata Knight Riders,"19th May, 2012",2012 - 70th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Kolkata Knight Riders won by 34 runs,Shakib Al Hasan,
322,Deccan Chargers,Royal Challengers Bangalore,"20th May, 2012",2012 - 71st Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Deccan Chargers won by 9 runs,Dale Steyn,
323,Rajasthan Royals,Mumbai Indians,"20th May, 2012",2012 - 72nd Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Mumbai Indians won by 10 wickets,Dwayne Smith,
324,Delhi Daredevils,Kolkata Knight Riders,"22nd May, 2012",2012 - 1st Qualifying Final,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Kolkata Knight Riders won by 18 runs,Yusuf Pathan,"Kolkata Knight Riders 2, Delhi Daredevils 0"
325,Chennai Super Kings,Mumbai Indians,"23rd May, 2012",2012 - Elimination Final,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Chennai Super Kings won by 3 runs,M S Dhoni,
326,Delhi Daredevils,Chennai Super Kings,"25th May, 2012",2012 - 2nd Qualifying Final,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Chennai Super Kings won by 86 runs,Murali Vijay,
327,Kolkata Knight Riders,Chennai Super Kings,"27th May, 2012",2012 - Final,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Kolkata Knight Riders won by 5 wickets,Manvinder Bisla,
328,Kolkata Knight Riders,Delhi Daredevils,"3rd April, 2013",2013 - 1st Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 6 wickets,Sunil Narine,
329,Royal Challengers Bangalore,Mumbai Indians,"4th April, 2013",2013 - 2nd Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Royal Challengers Bangalore won by 2 runs,Chris Gayle,
330,Sunrisers Hyderabad,Pune Warriors,"5th April, 2013",2013 - 3rd Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Pune Warriors won the toss and elected to field,Sunrisers Hyderabad won by 22 runs,Amit Mishra,
331,Delhi Daredevils,Rajasthan Royals,"6th April, 2013",2013 - 4th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Rajasthan Royals won by 5 runs,Rahul Dravid,
332,Chennai Super Kings,Mumbai Indians,"6th April, 2013",2013 - 5th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 9 runs,Kieron Pollard,
333,Pune Warriors,Kings XI Punjab,"7th April, 2013",2013 - 6th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Pune Warriors won the toss and elected to bat,Kings XI Punjab won by 8 wickets,Manan Vohra,
334,Sunrisers Hyderabad,Royal Challengers Bangalore,"7th April, 2013",2013 - 7th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Sunrisers Hyderabad won in super over after scores were tied,Hanuma Vihari,
335,Rajasthan Royals,Kolkata Knight Riders,"8th April, 2013",2013 - 8th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Rajasthan Royals won by 19 runs,Siddharth Trivedi,
336,Royal Challengers Bangalore,Sunrisers Hyderabad,"9th April, 2013",2013 - 9th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to bat,Royal Challengers Bangalore won by 7 wickets,Virat Kohli,
337,Mumbai Indians,Delhi Daredevils,"9th April, 2013",2013 - 10th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 44 runs,Dinesh Karthik,
338,Kings XI Punjab,Chennai Super Kings,"10th April, 2013",2013 - 11th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Chennai Super Kings won by 10 wickets,Michael Hussey,
339,Royal Challengers Bangalore,Kolkata Knight Riders,"11th April, 2013",2013 - 12th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 8 wickets,Chris Gayle,
340,Pune Warriors,Rajasthan Royals,"11th April, 2013",2013 - 13th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Pune Warriors won by 7 wickets,Aaron Finch,
341,Delhi Daredevils,Sunrisers Hyderabad,"12th April, 2013",2013 - 14th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to bat,Sunrisers Hyderabad won by 3 wickets,Amit Mishra,
342,Mumbai Indians,Pune Warriors,"13th April, 2013",2013 - 15th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 41 runs,Rohit Sharma,
343,Chennai Super Kings,Royal Challengers Bangalore,"13th April, 2013",2013 - 16th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Chennai Super Kings won by 4 wickets,Ravindra Jadeja,
344,Kolkata Knight Riders,Sunrisers Hyderabad,"14th April, 2013",2013 - 17th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Kolkata Knight Riders won by 48 runs,Gautam Gambhir,
345,Rajasthan Royals,Kings XI Punjab,"14th April, 2013",2013 - 18th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Rajasthan Royals won by 6 wickets,James Faulkner,
346,Chennai Super Kings,Pune Warriors,"15th April, 2013",2013 - 19th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Pune Warriors won the toss and elected to bat,Pune Warriors won by 24 runs,Steve Smith,
347,Kings XI Punjab,Kolkata Knight Riders,"16th April, 2013",2013 - 20th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kings XI Punjab won by 4 runs,Manpreet Gony,
348,Royal Challengers Bangalore,Delhi Daredevils,"16th April, 2013",2013 - 21st Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won in super over after scores were tied,Virat Kohli,"Royal Challengers Bangalore 2, Delhi Daredevils 0"
349,Pune Warriors,Sunrisers Hyderabad,"17th April, 2013",2013 - 22nd Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Pune Warriors won the toss and elected to field,Sunrisers Hyderabad won by 11 runs,Amit Mishra,
350,Rajasthan Royals,Mumbai Indians,"17th April, 2013",2013 - 23rd Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Rajasthan Royals won by 87 runs,Ajinkya Rahane,
351,Chennai Super Kings,Delhi Daredevils,"18th April, 2013",2013 - 24th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Chennai Super Kings won by 86 runs,Michael Hussey,
352,Sunrisers Hyderabad,Kings XI Punjab,"19th April, 2013",2013 - 25th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Sunrisers Hyderabad won by 5 wickets,Hanuma Vihari,
353,Kolkata Knight Riders,Chennai Super Kings,"20th April, 2013",2013 - 26th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Chennai Super Kings won by 4 wickets,Ravindra Jadeja,
354,Royal Challengers Bangalore,Rajasthan Royals,"20th April, 2013",2013 - 27th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 7 wickets,Vinay Kumar,
355,Delhi Daredevils,Mumbai Indians,"21st April, 2013",2013 - 28th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Delhi Daredevils won by 9 wickets,Virender Sehwag,
356,Kings XI Punjab,Pune Warriors,"21st April, 2013",2013 - 29th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Kings XI Punjab won by 7 wickets,David Miller,
357,Chennai Super Kings,Rajasthan Royals,"22nd April, 2013",2013 - 30th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Chennai Super Kings won by 5 wickets,Michael Hussey,
358,Royal Challengers Bangalore,Pune Warriors,"23rd April, 2013",2013 - 31st Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Pune Warriors won the toss and elected to field,Royal Challengers Bangalore won by 130 runs,Chris Gayle,
359,Delhi Daredevils,Kings XI Punjab,"23rd April, 2013",2013 - 32nd Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Kings XI Punjab won by 5 wickets,Harmeet Singh,
360,Kolkata Knight Riders,Mumbai Indians,"24th April, 2013",2013 - 33rd Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Mumbai Indians won by 5 wickets,Dwayne Smith,
361,Chennai Super Kings,Sunrisers Hyderabad,"25th April, 2013",2013 - 34th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to bat,Chennai Super Kings won by 5 wickets,M S Dhoni,
362,Kolkata Knight Riders,Kings XI Punjab,"26th April, 2013",2013 - 35th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Kolkata Knight Riders won by 6 wickets,Jacques Kallis,
363,Sunrisers Hyderabad,Rajasthan Royals,"27th April, 2013",2013 - 36th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to bat,Rajasthan Royals won by 8 wickets,James Faulkner,
364,Mumbai Indians,Royal Challengers Bangalore,"27th April, 2013",2013 - 37th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 58 runs,Dwayne Smith,
365,Chennai Super Kings,Kolkata Knight Riders,"28th April, 2013",2013 - 38th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Chennai Super Kings won by 14 runs,Michael Hussey,
366,Delhi Daredevils,Pune Warriors,"28th April, 2013",2013 - 39th Match,"Shaheed Veer Narayan Sing International Stadium, Raipur","20 Overs, Day/Night Match",Pune Warriors won the toss and elected to field,Delhi Daredevils won by 15 runs,David Warner,
367,Rajasthan Royals,Royal Challengers Bangalore,"29th April, 2013",2013 - 40th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Rajasthan Royals won by 4 wickets,Sanju Samson,
368,Mumbai Indians,Kings XI Punjab,"29th April, 2013",2013 - 41st Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 4 runs,Rohit Sharma,
369,Chennai Super Kings,Pune Warriors,"30th April, 2013",2013 - 42nd Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Chennai Super Kings won by 37 runs,M S Dhoni,
370,Mumbai Indians,Sunrisers Hyderabad,"1st May, 2013",2013 - 43rd Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Sunrisers Hyderabad won by 7 wickets,Ishant Sharma,
371,Delhi Daredevils,Kolkata Knight Riders,"1st May, 2013",2013 - 44th Match,"Shaheed Veer Narayan Sing International Stadium, Raipur","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Delhi Daredevils won by 7 wickets,David Warner,
372,Chennai Super Kings,Kings XI Punjab,"2nd May, 2013",2013 - 45th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Chennai Super Kings won by 15 runs,Suresh Raina,
