,home,away,date,season,venue,type,toss,winner,man_of_match,points
527,Delhi Capitals,Kolkata Knight Riders,"3rd October, 2020",2020 - 16th Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Delhi Capitals won by 18 runs,Shreyas Iyer,
528,Mumbai Indians,Sunrisers Hyderabad,"4th October, 2020",2020 - 17th Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 34 runs,Trent Boult,
529,Chennai Super Kings,Kings XI Punjab,"4th October, 2020",2020 - 18th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Chennai Super Kings won by 10 wickets,Shane Watson,
530,Delhi Capitals,Royal Challengers Bangalore,"5th October, 2020",2020 - 19th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Delhi Capitals won by 59 runs,Axar Patel,
531,Mumbai Indians,Rajasthan Royals,"6th October, 2020",2020 - 20th Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 57 runs,Suryakumar Yadav,
532,Chennai Super Kings,Kolkata Knight Riders,"7th October, 2020",2020 - 21st Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Kolkata Knight Riders won by 10 runs,Rahul Tripathi,
533,Kings XI Punjab,Sunrisers Hyderabad,"8th October, 2020",2020 - 22nd Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to bat,Sunrisers Hyderabad won by 69 runs,Jonny Bairstow,
534,Delhi Capitals,Rajasthan Royals,"9th October, 2020",2020 - 23rd Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day Match",Rajasthan Royals won the toss and elected to field,Delhi Capitals won by 46 runs,Ravichandran Ashwin,
535,Kolkata Knight Riders,Kings XI Punjab,"10th October, 2020",2020 - 24th Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day Match",Kolkata Knight Riders won the toss and elected to bat,Kolkata Knight Riders won by 2 runs,Dinesh Karthik,
536,Chennai Super Kings,Royal Challengers Bangalore,"10th October, 2020",2020 - 25th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Royal Challengers Bangalore won by 37 runs,Virat Kohli,
537,Rajasthan Royals,Sunrisers Hyderabad,"11th October, 2020",2020 - 26th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day Match",Sunrisers Hyderabad won the toss and elected to bat,Rajasthan Royals won by 5 wickets,Rahul Tewatia,
538,Delhi Capitals,Mumbai Indians,"11th October, 2020",2020 - 27th Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Delhi Capitals won the toss and elected to bat,Mumbai Indians won by 5 wickets,Quinton de Kock,
539,Kolkata Knight Riders,Royal Challengers Bangalore,"12th October, 2020",2020 - 28th Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Royal Challengers Bangalore won by 82 runs,AB de Villiers,
540,Chennai Super Kings,Sunrisers Hyderabad,"13th October, 2020",2020 - 29th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Chennai Super Kings won by 20 runs,Ravindra Jadeja,
541,Delhi Capitals,Rajasthan Royals,"14th October, 2020",2020 - 30th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day Match",Delhi Capitals won the toss and elected to bat,Delhi Capitals won by 13 runs,Anrich Nortje,
542,Kings XI Punjab,Royal Challengers Bangalore,"15th October, 2020",2020 - 31st Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Kings XI Punjab won by 8 wickets,KL Rahul,
543,Kolkata Knight Riders,Mumbai Indians,"16th October, 2020",2020 - 32nd Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Mumbai Indians won by 8 wickets,Quinton de Kock,
544,Royal Challengers Bangalore,Rajasthan Royals,"17th October, 2020",2020 - 33rd Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day Match",Rajasthan Royals won the toss and elected to bat,Royal Challengers Bangalore won by 7 wickets,AB de Villiers,
545,Chennai Super Kings,Delhi Capitals,"17th October, 2020",2020 - 34th Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Delhi Capitals won by 5 wickets,Shikhar Dhawan,
546,Kolkata Knight Riders,Sunrisers Hyderabad,"18th October, 2020",2020 - 35th Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day Match",Sunrisers Hyderabad won the toss and elected to field,Kolkata Knight Riders won in super over after scores were tied,Lockie Ferguson,"Kolkata Knight Riders 2, Sunrisers Hyderabad 0"
547,Kings XI Punjab,Mumbai Indians,"18th October, 2020",2020 - 36th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Kings XI Punjab won in super over after scores were tied,KL Rahul,"Kings XI Punjab 2, Mumbai Indians 0"
548,Chennai Super Kings,Rajasthan Royals,"19th October, 2020",2020 - 37th Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Rajasthan Royals won by 7 wickets,Jos Buttler,
549,Delhi Capitals,Kings XI Punjab,"20th October, 2020",2020 - 38th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Delhi Capitals won the toss and elected to bat,Kings XI Punjab won by 5 wickets,Shikhar Dhawan,
550,Kolkata Knight Riders,Royal Challengers Bangalore,"21st October, 2020",2020 - 39th Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Royal Challengers Bangalore won by 8 wickets,Mohammed Siraj,
551,Rajasthan Royals,Sunrisers Hyderabad,"22nd October, 2020",2020 - 40th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Sunrisers Hyderabad won by 8 wickets,Manish Pandey,
552,Chennai Super Kings,Mumbai Indians,"23rd October, 2020",2020 - 41st Match,"Sharjah Cricket Stadium, Sharjah","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 10 wickets,Trent Boult,
553,Delhi Capitals,Kolkata Knight Riders,"24th October, 2020",2020 - 42nd Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day Match",Delhi Capitals won the toss and elected to field,Kolkata Knight Riders won by 59 runs,Varun Chakravarthy,
554,Kings XI Punjab,Sunrisers Hyderabad,"24th October, 2020",2020 - 43rd Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to field,Kings XI Punjab won by 12 runs,Chris Jordan,
555,Chennai Super Kings,Royal Challengers Bangalore,"25th October, 2020",2020 - 44th Match,"Dubai International Cricket Stadium, Dubai","20 Overs, Day Match",Royal Challengers Bangalore won the toss and elected to bat,Chennai Super Kings won by 8 wickets,Ruturaj Gaikwad,
556,Mumbai Indians,Rajasthan Royals,"25th October, 2020",2020 - 45th Match,"Sheikh Zayed Stadium, Abu Dhabi","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Rajasthan Royals won by 8 wickets,Ben Stokes,
