,home,away,date,season,venue,type,toss,winner,man_of_match,points
0,Chennai Super Kings,Mumbai Indians,"4th April, 2012",2012 - 1st Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 8 wickets,Richard Levi,
1,Kolkata Knight Riders,Delhi Daredevils,"5th April, 2012",2012 - 2nd Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 8 wickets,Irfan Pathan,"Delhi Daredevils 2, Kolkata Knight Riders 0"
2,Mumbai Indians,Pune Warriors,"6th April, 2012",2012 - 3rd Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Pune Warriors won by 28 runs,Steve Smith,
3,Rajasthan Royals,Kings XI Punjab,"6th April, 2012",2012 - 4th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Rajasthan Royals won by 31 runs,Ajinkya Rahane,
4,Royal Challengers Bangalore,Delhi Daredevils,"7th April, 2012",2012 - 5th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Royal Challengers Bangalore won by 20 runs,AB de Villiers,
5,Deccan Chargers,Chennai Super Kings,"7th April, 2012",2012 - 6th Match,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to field,Chennai Super Kings won by 74 runs,Ravindra Jadeja,
6,Rajasthan Royals,Kolkata Knight Riders,"8th April, 2012",2012 - 7th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Rajasthan Royals won by 22 runs,Bradley Hodge,
7,Pune Warriors,Kings XI Punjab,"8th April, 2012",2012 - 8th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Pune Warriors won the toss and elected to bat,Pune Warriors won by 22 runs,Marlon Samuels,
8,Deccan Chargers,Mumbai Indians,"9th April, 2012",2012 - 9th Match,"Dr YS Rajasekhara Reddy Cricket Stadium, Visakhapatnam","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to bat,Mumbai Indians won by 5 wickets,Rohit Sharma,
9,Royal Challengers Bangalore,Kolkata Knight Riders,"10th April, 2012",2012 - 10th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Kolkata Knight Riders won by 42 runs,No Award,
10,Delhi Daredevils,Chennai Super Kings,"10th April, 2012",2012 - 11th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 8 wickets,Morne Morkel,
11,Mumbai Indians,Rajasthan Royals,"11th April, 2012",2012 - 12th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Mumbai Indians won by 27 runs,Kieron Pollard,
12,Chennai Super Kings,Royal Challengers Bangalore,"12th April, 2012",2012 - 13th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Chennai Super Kings won by 5 wickets,Faf du Plessis,
13,Kings XI Punjab,Pune Warriors,"12th April, 2012",2012 - 14th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Kings XI Punjab won by 7 wickets,Dimitri Mascarenhas,
14,Kolkata Knight Riders,Rajasthan Royals,"13th April, 2012",2012 - 15th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Kolkata Knight Riders won by 5 wickets,Shakib Al Hasan,
15,Pune Warriors,Chennai Super Kings,"14th April, 2012",2012 - 16th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Pune Warriors won by 7 wickets,Jesse Ryder,
16,Kolkata Knight Riders,Kings XI Punjab,"15th April, 2012",2012 - 17th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kings XI Punjab won by 2 runs,Sunil Narine,
17,Royal Challengers Bangalore,Rajasthan Royals,"15th April, 2012",2012 - 18th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Rajasthan Royals won by 59 runs,Ajinkya Rahane,
18,Mumbai Indians,Delhi Daredevils,"16th April, 2012",2012 - 19th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 7 wickets,Shahbaz Nadeem,
19,Rajasthan Royals,Deccan Chargers,"17th April, 2012",2012 - 20th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to bat,Rajasthan Royals won by 5 wickets,Bradley Hodge,
20,Royal Challengers Bangalore,Pune Warriors,"17th April, 2012",2012 - 21st Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Pune Warriors won the toss and elected to bat,Royal Challengers Bangalore won by 6 wickets,Chris Gayle,
21,Kings XI Punjab,Kolkata Knight Riders,"18th April, 2012",2012 - 22nd Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Kolkata Knight Riders won by 8 wickets,Gautam Gambhir,
22,Delhi Daredevils,Deccan Chargers,"19th April, 2012",2012 - 23rd Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to bat,Delhi Daredevils won by 5 wickets,Kevin Pietersen,
23,Chennai Super Kings,Pune Warriors,"19th April, 2012",2012 - 24th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Pune Warriors won the toss and elected to field,Chennai Super Kings won by 13 runs,Nuwan Kulasekara,
24,Kings XI Punjab,Royal Challengers Bangalore,"20th April, 2012",2012 - 25th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 5 wickets,Chris Gayle,
25,Chennai Super Kings,Rajasthan Royals,"21st April, 2012",2012 - 26th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Chennai Super Kings won by 7 wickets,Faf du Plessis,
26,Delhi Daredevils,Pune Warriors,"21st April, 2012",2012 - 27th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Pune Warriors won by 20 runs,Sourav Ganguly,
27,Mumbai Indians,Kings XI Punjab,"22nd April, 2012",2012 - 28th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Kings XI Punjab won by 6 wickets,Shaun Marsh,
28,Deccan Chargers,Kolkata Knight Riders,"22nd April, 2012",2012 - 29th Match,"Barabati Stadium, Cuttack","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 5 wickets,Brett Lee,
29,Rajasthan Royals,Royal Challengers Bangalore,"23rd April, 2012",2012 - 30th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Royal Challengers Bangalore won by 46 runs,AB de Villiers,
30,Pune Warriors,Delhi Daredevils,"24th April, 2012",2012 - 31st Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Pune Warriors won the toss and elected to bat,Delhi Daredevils won by 8 wickets,Virender Sehwag,
31,Kolkata Knight Riders,Deccan Chargers,"24th April, 2012",2012 - 32nd Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",No Toss,Match abandoned,No Award,"Kolkata Knight Riders 1, Deccan Chargers 1"
32,Kings XI Punjab,Mumbai Indians,"25th April, 2012",2012 - 33rd Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Mumbai Indians won by 4 wickets,Ambati Rayudu,
33,Royal Challengers Bangalore,Chennai Super Kings,"25th April, 2012",2012 - 34th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,No result,No Award,"Royal Challengers Bangalore 1, Chennai Super Kings 1"
34,Pune Warriors,Deccan Chargers,"26th April, 2012",2012 - 35th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to bat,Deccan Chargers won by 18 runs,Cameron White,
35,Delhi Daredevils,Mumbai Indians,"27th April, 2012",2012 - 36th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Delhi Daredevils won by 37 runs,Virender Sehwag,
36,Chennai Super Kings,Kings XI Punjab,"28th April, 2012",2012 - 37th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Kings XI Punjab won by 7 runs,Mandeep Singh,
37,Kolkata Knight Riders,Royal Challengers Bangalore,"28th April, 2012",2012 - 38th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Kolkata Knight Riders won by 47 runs,Gautam Gambhir,
38,Delhi Daredevils,Rajasthan Royals,"29th April, 2012",2012 - 39th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to bat,Delhi Daredevils won by 1 run,Virender Sehwag,
39,Mumbai Indians,Deccan Chargers,"29th April, 2012",2012 - 40th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 5 wickets,Dale Steyn,
40,Chennai Super Kings,Kolkata Knight Riders,"30th April, 2012",2012 - 41st Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Kolkata Knight Riders won by 5 wickets,Gautam Gambhir,
41,Deccan Chargers,Pune Warriors,"1st May, 2012",2012 - 42nd Match,"Barabati Stadium, Cuttack","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to bat,Deccan Chargers won by 13 runs,Kumar Sangakkara,
42,Rajasthan Royals,Delhi Daredevils,"1st May, 2012",2012 - 43rd Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Delhi Daredevils won by 6 wickets,Pawan Negi,
43,Royal Challengers Bangalore,Kings XI Punjab,"2nd May, 2012",2012 - 44th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Kings XI Punjab won by 4 wickets,Azhar Mahmood,
44,Pune Warriors,Mumbai Indians,"3rd May, 2012",2012 - 45th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 1 run,Lasith Malinga,
45,Chennai Super Kings,Deccan Chargers,"4th May, 2012",2012 - 46th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Chennai Super Kings won by 10 runs,Suresh Raina,
46,Kolkata Knight Riders,Pune Warriors,"5th May, 2012",2012 - 47th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Kolkata Knight Riders won by 7 runs,Sunil Narine,
47,Kings XI Punjab,Rajasthan Royals,"5th May, 2012",2012 - 48th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Rajasthan Royals won by 43 runs,Shane Watson,
48,Mumbai Indians,Chennai Super Kings,"6th May, 2012",2012 - 49th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 2 wickets,Dwayne Smith,
49,Royal Challengers Bangalore,Deccan Chargers,"6th May, 2012",2012 - 50th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 5 wickets,AB de Villiers,
50,Delhi Daredevils,Kolkata Knight Riders,"7th May, 2012",2012 - 51st Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to bat,Kolkata Knight Riders won by 6 wickets,Jacques Kallis,
51,Pune Warriors,Rajasthan Royals,"8th May, 2012",2012 - 52nd Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Pune Warriors won the toss and elected to bat,Rajasthan Royals won by 7 wickets,Shane Watson,
52,Deccan Chargers,Kings XI Punjab,"8th May, 2012",2012 - 53rd Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to field,Kings XI Punjab won by 25 runs,Mandeep Singh,
53,Mumbai Indians,Royal Challengers Bangalore,"9th May, 2012",2012 - 54th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 9 wickets,Chris Gayle,
54,Deccan Chargers,Delhi Daredevils,"10th May, 2012",2012 - 55th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to bat,Delhi Daredevils won by 9 wickets,David Warner,
55,Rajasthan Royals,Chennai Super Kings,"10th May, 2012",2012 - 56th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Chennai Super Kings won by 4 wickets,Ben Hilfenhaus,
56,Pune Warriors,Royal Challengers Bangalore,"11th May, 2012",2012 - 57th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Pune Warriors won the toss and elected to field,Royal Challengers Bangalore won by 35 runs,Chris Gayle,
57,Kolkata Knight Riders,Mumbai Indians,"12th May, 2012",2012 - 58th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 27 runs,Rohit Sharma,
58,Chennai Super Kings,Delhi Daredevils,"12th May, 2012",2012 - 59th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Chennai Super Kings won by 9 wickets,Ben Hilfenhaus,
59,Rajasthan Royals,Pune Warriors,"13th May, 2012",2012 - 60th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Rajasthan Royals won by 45 runs,Ajit Chandila,
60,Kings XI Punjab,Deccan Chargers,"13th May, 2012",2012 - 61st Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Deccan Chargers won the toss and elected to bat,Kings XI Punjab won by 4 wickets,David Hussey,
61,Royal Challengers Bangalore,Mumbai Indians,"14th May, 2012",2012 - 62nd Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Mumbai Indians won by 5 wickets,Ambati Rayudu,
62,Kolkata Knight Riders,Chennai Super Kings,"14th May, 2012",2012 - 63rd Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Chennai Super Kings won by 5 wickets,Michael Hussey,
63,Delhi Daredevils,Kings XI Punjab,"15th May, 2012",2012 - 64th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Delhi Daredevils won by 5 wickets,Umesh Yadav,
64,Mumbai Indians,Kolkata Knight Riders,"16th May, 2012",2012 - 65th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Kolkata Knight Riders won by 32 runs,Sunil Narine,
65,Kings XI Punjab,Chennai Super Kings,"17th May, 2012",2012 - 66th Match,"Himachal Pradesh Cricket Association Stadium, Dharamsala","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Kings XI Punjab won by 6 wickets,Adam Gilchrist,
66,Delhi Daredevils,Royal Challengers Bangalore,"17th May, 2012",2012 - 67th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Royal Challengers Bangalore won by 21 runs,Chris Gayle,
67,Deccan Chargers,Rajasthan Royals,"18th May, 2012",2012 - 68th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Deccan Chargers won by 5 wickets,Dale Steyn,
68,Kings XI Punjab,Delhi Daredevils,"19th May, 2012",2012 - 69th Match,"Himachal Pradesh Cricket Association Stadium, Dharamsala","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Delhi Daredevils won by 6 wickets,Umesh Yadav,
69,Pune Warriors,Kolkata Knight Riders,"19th May, 2012",2012 - 70th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Kolkata Knight Riders won by 34 runs,Shakib Al Hasan,
70,Deccan Chargers,Royal Challengers Bangalore,"20th May, 2012",2012 - 71st Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Deccan Chargers won by 9 runs,Dale Steyn,
71,Rajasthan Royals,Mumbai Indians,"20th May, 2012",2012 - 72nd Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Mumbai Indians won by 10 wickets,Dwayne Smith,
72,Delhi Daredevils,Kolkata Knight Riders,"22nd May, 2012",2012 - 1st Qualifying Final,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Kolkata Knight Riders won by 18 runs,Yusuf Pathan,"Kolkata Knight Riders 2, Delhi Daredevils 0"
73,Chennai Super Kings,Mumbai Indians,"23rd May, 2012",2012 - Elimination Final,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Chennai Super Kings won by 3 runs,M S Dhoni,
74,Delhi Daredevils,Chennai Super Kings,"25th May, 2012",2012 - 2nd Qualifying Final,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to field,Chennai Super Kings won by 86 runs,Murali Vijay,
75,Kolkata Knight Riders,Chennai Super Kings,"27th May, 2012",2012 - Final,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Kolkata Knight Riders won by 5 wickets,Manvinder Bisla,
76,Kolkata Knight Riders,Delhi Daredevils,"3rd April, 2013",2013 - 1st Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kolkata Knight Riders won by 6 wickets,Sunil Narine,
77,Royal Challengers Bangalore,Mumbai Indians,"4th April, 2013",2013 - 2nd Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to field,Royal Challengers Bangalore won by 2 runs,Chris Gayle,
78,Sunrisers Hyderabad,Pune Warriors,"5th April, 2013",2013 - 3rd Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Pune Warriors won the toss and elected to field,Sunrisers Hyderabad won by 22 runs,Amit Mishra,
79,Delhi Daredevils,Rajasthan Royals,"6th April, 2013",2013 - 4th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Rajasthan Royals won by 5 runs,Rahul Dravid,
80,Chennai Super Kings,Mumbai Indians,"6th April, 2013",2013 - 5th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 9 runs,Kieron Pollard,
81,Pune Warriors,Kings XI Punjab,"7th April, 2013",2013 - 6th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Pune Warriors won the toss and elected to bat,Kings XI Punjab won by 8 wickets,Manan Vohra,
82,Sunrisers Hyderabad,Royal Challengers Bangalore,"7th April, 2013",2013 - 7th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to bat,Sunrisers Hyderabad won in super over after scores were tied,Hanuma Vihari,
83,Rajasthan Royals,Kolkata Knight Riders,"8th April, 2013",2013 - 8th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Rajasthan Royals won by 19 runs,Siddharth Trivedi,
84,Royal Challengers Bangalore,Sunrisers Hyderabad,"9th April, 2013",2013 - 9th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to bat,Royal Challengers Bangalore won by 7 wickets,Virat Kohli,
85,Mumbai Indians,Delhi Daredevils,"9th April, 2013",2013 - 10th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 44 runs,Dinesh Karthik,
86,Kings XI Punjab,Chennai Super Kings,"10th April, 2013",2013 - 11th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Chennai Super Kings won by 10 wickets,Michael Hussey,
87,Royal Challengers Bangalore,Kolkata Knight Riders,"11th April, 2013",2013 - 12th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 8 wickets,Chris Gayle,
88,Pune Warriors,Rajasthan Royals,"11th April, 2013",2013 - 13th Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Pune Warriors won by 7 wickets,Aaron Finch,
89,Delhi Daredevils,Sunrisers Hyderabad,"12th April, 2013",2013 - 14th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Delhi Daredevils won the toss and elected to bat,Sunrisers Hyderabad won by 3 wickets,Amit Mishra,
90,Mumbai Indians,Pune Warriors,"13th April, 2013",2013 - 15th Match,"Wankhede Stadium, Mumbai","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Mumbai Indians won by 41 runs,Rohit Sharma,
91,Chennai Super Kings,Royal Challengers Bangalore,"13th April, 2013",2013 - 16th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to field,Chennai Super Kings won by 4 wickets,Ravindra Jadeja,
92,Kolkata Knight Riders,Sunrisers Hyderabad,"14th April, 2013",2013 - 17th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Kolkata Knight Riders won by 48 runs,Gautam Gambhir,
93,Rajasthan Royals,Kings XI Punjab,"14th April, 2013",2013 - 18th Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to field,Rajasthan Royals won by 6 wickets,James Faulkner,
94,Chennai Super Kings,Pune Warriors,"15th April, 2013",2013 - 19th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Pune Warriors won the toss and elected to bat,Pune Warriors won by 24 runs,Steve Smith,
95,Kings XI Punjab,Kolkata Knight Riders,"16th April, 2013",2013 - 20th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to field,Kings XI Punjab won by 4 runs,Manpreet Gony,
96,Royal Challengers Bangalore,Delhi Daredevils,"16th April, 2013",2013 - 21st Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won in super over after scores were tied,Virat Kohli,"Royal Challengers Bangalore 2, Delhi Daredevils 0"
97,Pune Warriors,Sunrisers Hyderabad,"17th April, 2013",2013 - 22nd Match,"Maharashtra Cricket Association Stadium, Pune","20 Overs, Day/Night Match",Pune Warriors won the toss and elected to field,Sunrisers Hyderabad won by 11 runs,Amit Mishra,
98,Rajasthan Royals,Mumbai Indians,"17th April, 2013",2013 - 23rd Match,"Sawai Mansingh Stadium, Jaipur","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Rajasthan Royals won by 87 runs,Ajinkya Rahane,
99,Chennai Super Kings,Delhi Daredevils,"18th April, 2013",2013 - 24th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Chennai Super Kings won the toss and elected to bat,Chennai Super Kings won by 86 runs,Michael Hussey,
100,Sunrisers Hyderabad,Kings XI Punjab,"19th April, 2013",2013 - 25th Match,"Rajiv Gandhi International Stadium, Hyderabad","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to bat,Sunrisers Hyderabad won by 5 wickets,Hanuma Vihari,
101,Kolkata Knight Riders,Chennai Super Kings,"20th April, 2013",2013 - 26th Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Chennai Super Kings won by 4 wickets,Ravindra Jadeja,
102,Royal Challengers Bangalore,Rajasthan Royals,"20th April, 2013",2013 - 27th Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Royal Challengers Bangalore won the toss and elected to field,Royal Challengers Bangalore won by 7 wickets,Vinay Kumar,
103,Delhi Daredevils,Mumbai Indians,"21st April, 2013",2013 - 28th Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Mumbai Indians won the toss and elected to bat,Delhi Daredevils won by 9 wickets,Virender Sehwag,
104,Kings XI Punjab,Pune Warriors,"21st April, 2013",2013 - 29th Match,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Kings XI Punjab won by 7 wickets,David Miller,
105,Chennai Super Kings,Rajasthan Royals,"22nd April, 2013",2013 - 30th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Rajasthan Royals won the toss and elected to bat,Chennai Super Kings won by 5 wickets,Michael Hussey,
106,Royal Challengers Bangalore,Pune Warriors,"23rd April, 2013",2013 - 31st Match,"M Chinnaswamy Stadium, Bengaluru, Bangalore","20 Overs, Day/Night Match",Pune Warriors won the toss and elected to field,Royal Challengers Bangalore won by 130 runs,Chris Gayle,
107,Delhi Daredevils,Kings XI Punjab,"23rd April, 2013",2013 - 32nd Match,"Arun Jaitley Stadium, Delhi","20 Overs, Day/Night Match",Kings XI Punjab won the toss and elected to field,Kings XI Punjab won by 5 wickets,Harmeet Singh,
108,Kolkata Knight Riders,Mumbai Indians,"24th April, 2013",2013 - 33rd Match,"Eden Gardens, Kolkata","20 Overs, Day/Night Match",Kolkata Knight Riders won the toss and elected to bat,Mumbai Indians won by 5 wickets,Dwayne Smith,
109,Chennai Super Kings,Sunrisers Hyderabad,"25th April, 2013",2013 - 34th Match,"MA Chidambaram Stadium, Chennai","20 Overs, Day/Night Match",Sunrisers Hyderabad won the toss and elected to bat,Chennai Super Kings won by 5 wickets,M S Dhoni,
